Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FirstTS,Firefox 68.0,,,2019-08-24 06:49:31,2019-08-24 06:50:26,55.082s,INCOMPLETE
,,,,,,,
Test Cases/1- logIn/1-RightTC,Firefox 68.0,,,2019-08-24 06:49:32,2019-08-24 06:49:57,25.113s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-08-24 06:49:33,2019-08-24 06:49:44,11.336s,PASSED
"navigateToUrl(""http://is2host.com/watch/"")",Firefox 68.0,,,2019-08-24 06:49:44,2019-08-24 06:49:48,4.598s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/a_""))",Firefox 68.0,,,2019-08-24 06:49:48,2019-08-24 06:49:52,3.618s,PASSED
"setText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__name""), ""admin@admin.com"")",Firefox 68.0,,,2019-08-24 06:49:52,2019-08-24 06:49:52,0.228s,PASSED
"setEncryptedText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__pass""), ""aeHFOx8jV/A="")",Firefox 68.0,,,2019-08-24 06:49:52,2019-08-24 06:49:53,0.427s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/button_""))",Firefox 68.0,,,2019-08-24 06:49:53,2019-08-24 06:49:57,4.128s,PASSED
,,,,,,,
Test Cases/1- logIn/2-WrongTC,Firefox 68.0,,,2019-08-24 06:49:57,2019-08-24 06:50:26,29.242s,PASSED
"openBrowser("""")",Firefox 68.0,,,2019-08-24 06:49:57,2019-08-24 06:50:09,11.706s,PASSED
"navigateToUrl(""http://is2host.com/watch/"")",Firefox 68.0,,,2019-08-24 06:50:09,2019-08-24 06:50:14,5.070s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/a_""))",Firefox 68.0,,,2019-08-24 06:50:14,2019-08-24 06:50:18,4.167s,PASSED
"setText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__name""), ""ahmed@admin.com"")",Firefox 68.0,,,2019-08-24 06:50:18,2019-08-24 06:50:19,0.225s,PASSED
"setEncryptedText(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/input__pass""), ""aeHFOx8jV/A="")",Firefox 68.0,,,2019-08-24 06:50:19,2019-08-24 06:50:19,0.140s,PASSED
"click(findTestObject(""Object Repository/logIn/Page_ WATCH2BUY/button_""))",Firefox 68.0,,,2019-08-24 06:50:19,2019-08-24 06:50:22,2.860s,PASSED
closeBrowser(),Firefox 68.0,,,2019-08-24 06:50:22,2019-08-24 06:50:26,4.499s,PASSED
